"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"D1,D6,D3";"SOT-23";3;"MMBZ27VCLT1G";;;
2;"C23,C24,C10,C14,C34";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";5;"10pF";;;
3;"J9,J8,J6,J7,J11,J10";"PinHeader_1x01_P1.00mm_Horizontal";6;"Conn_01x01_Pin";;;
4;"C28,C13,C11,C20";"C_0805_2012Metric";4;"22uF  25V";;;
5;"R30,R28,R29,R31,R14";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";5;"4.99K 0.1%";;;
6;"J1,J2";"TERMINAL";2;"TERM";;;
7;"R36,R37";"R_2512_6332Metric";2;"4R0 500V";;;
8;"Q2,Q3";"TO-263-3_TabPin2";2;"IPB60R040CFD7ATMA1";;;
9;"R16,R19,R20";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";3;"2.7M 0.1% 1206";;;
10;"U1";"SOIC-16W_7.5x10.3mm_P1.27mm";1;"ACS37002LMABTR-050B5";;;
11;"C30,C31,C32";"C_1812_4532Metric";3;".1uF 1KV";;;
12;"R21,R18";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";2;"2.7M";;;
13;"Q5";"SOT-223";1;"ZVN0545G";;;
14;"C1";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";1;"2.2uF";;;
15;"Q4";"SOT-223";1;"ZVP0545G";;;
16;"K1";"modbatt relay tab";1;"DVR05";;;
17;"R1";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";1;"1K";;;
18;"Q1,Q6";"SOT-323_SC-70";2;"2N7002";;;
19;"R15";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"200K 1206";;;
20;"R4,R33,R24,R25,R3";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";5;"4.7K";;;
21;"R5,R22,R23,R34";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";4;"100K";;;
22;"R32";"3560";1;"33K 3560 6W";;;
23;"L1";"L_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"4.7uH";;;
24;"C6,C5,C4,C29,C27,C25,C12,C15,C7,C3,C26,C33";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";12;".1uF";;;
25;"C8,C9";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";2;"7pF";;;
26;"Y1";"Crystal_SMD_3215-2Pin_3.2x1.5mm";1;"32.768KHz SC-32";;;
27;"R17";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";1;"100K 0.1% ";;;
28;"C22,C21,C17";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";3;".1uF 50V";;;
29;"R6";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";1;"10K";;;
30;"J5";"6403896-4";1;"640389-4";;;
31;"R8,R7";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";2;"1.0M 0.1%";;;
32;"U3";"SOIC-8_3.9x4.9mm_P1.27mm";1;"MCP7940N-xMS";;;
33;"U8";"DIP-8_W8.89mm_SMDSocket_LongPads";1;"ISO1050DUB";;;
34;"C16,C19,C18";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";3;"1uF";;;
35;"U9";"SIP6_IB_LS-1WR3_MNS";1;"IB1205LS-1WR3";;;
36;"U7";"SOIC-8_7.5x5.85mm_P1.27mm";1;"TPSI3050D";;;
37;"C2";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";1;"10nF";;;
38;"R12,R13";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";2;"787K 1%";;;
39;"R35";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";1;"22";;;
40;"U13";"TSSOP-8_3x3mm_P0.65mm";1;"TC7WH74FU";;;
41;"D7";"SOT-323_SC-70";1;"BAT54CW";;;
42;"J4";"microSD_HC_Hirose_DM3AT-SF-PEJM5";1;"Micro_SD_Card_Det_Hirose_DM3AT";;;
43;"R10,R9";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";2;"68";;;
44;"U5";"SOIC-8_3.9x4.9mm_P1.27mm";1;"TLV333 8SOIC";;;
45;"R11";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";1;"200K";;;
46;"J3";"PinHeader_2x03_P2.54mm_Horizontal";1;"Debug";;;
47;"U6";"SO-6_4.4x3.6mm_P1.27mm";1;"TLP152";;;
48;"U4";"TSOT-23-6";1;"AP63203WU";;;
49;"U12";"SOT-563";1;"TMP392";;;
50;"U10";"SOT-223";1;"AZ1117-5.0";;;
51;"D2";"D_SOD-123";1;"20V 350mA SOD123";;;
52;"R2";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";1;"4.7 OHM";;;
53;"U11";"SOT-23-5";1;"MIC5504-3.3YM5";;;
54;"U2";"TQFP-32_7x7mm_P0.8mm";1;"ATmega64M1-AU";;;
